#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=129 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:121 out:123 type:b dur:2 cpbdur:2 q:44.81 aq:33.97 tex:32 mv:116 misc:452 imb:2 pmb:10 smb:8148 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:44.77 aq:43.32 tex:61 mv:66 misc:433 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:44.65 aq:35.31 tex:4653 mv:4086 misc:2301 imb:211 pmb:329 smb:7620 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:44.70 aq:35.64 tex:145 mv:849 misc:830 imb:3 pmb:88 smb:8069 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:44.72 aq:30.00 tex:2 mv:131 misc:459 imb:0 pmb:15 smb:8145 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:44.68 aq:38.14 tex:90 mv:94 misc:464 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:44.55 aq:34.84 tex:4945 mv:4026 misc:2405 imb:229 pmb:317 smb:7614 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:44.60 aq:30.95 tex:116 mv:845 misc:831 imb:2 pmb:89 smb:8069 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:44.63 aq:36.04 tex:41 mv:157 misc:490 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:44.57 aq:36.91 tex:71 mv:151 misc:482 imb:1 pmb:15 smb:8144 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:44.43 aq:35.55 tex:5033 mv:4014 misc:2377 imb:207 pmb:349 smb:7604 d:- ref:0 ;
